#;Country;iso2;iso3;Category;Description;Type of actor;Start Month;End Month;Start Extension 1;End Extension 1;Start Extension 2;End Extension 2;Start Extension 3;End Extension 3;March 2020;April 2020;May 2020;June 2020;July 2020;August 2020;September 2020;October 2020;November 2020;December 2020;January 2021;February 2021;March 2021
1;Albania;AL;ALB;Deferred payment arrangements;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0
2;Albania;AL;ALB;Disconnection bans;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0
3;Albania;AL;ALB;Discounts or subsidies for energy supply;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0
4;Albania;AL;ALB;Free energy supply;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0
5;Albania;AL;ALB;Other measures;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0
6;Albania;AL;ALB;Personalized payment arrangements;In April 2020 a relief measure adopted by the Government and implemented by the universal supplier OSHEE allows certain categories of households and small business customers to enter into an agreement with the supplier based on which all accrued interest on non-paid electricity bills (not the principal amount) which has accumulated until 31 December 2019 will be written off.;Government;April 2020;;;;;;;;0;1;0;0;0;0;0;0;0;0;0;0;0
7;Albania;AL;ALB;Reconnection of supply;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0
8;Albania;AL;ALB;Support for off-grid energy supplies;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0
9;Albania;AL;ALB;Tariff adjustments or freezes;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0
10;Algeria;DZ;DZA;Deferred payment arrangements;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0
11;Algeria;DZ;DZA;Disconnection bans;On 5 April 2020, the Sonelgaz group and its distribution company SADEG decided not to interrupt the electricity and gas service in case of non-payment of bills due to the spread of the coronavirus on the national territory.;Public Utilities;April 2020;March 2021;;;;;;;0;1;1;1;1;1;1;1;1;1;1;1;1
12;Algeria;DZ;DZA;Discounts or subsidies for energy supply;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0
13;Algeria;DZ;DZA;Free energy supply;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0
14;Algeria;DZ;DZA;Other measures;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0
15;Algeria;DZ;DZA;Personalized payment arrangements;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0
16;Algeria;DZ;DZA;Reconnection of supply;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0
17;Algeria;DZ;DZA;Support for off-grid energy supplies;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0
18;Algeria;DZ;DZA;Tariff adjustments or freezes;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0
19;Angola;AO;AGO;Deferred payment arrangements;On 26 May 2020, the government of Angola announced that electricity and water consumers could pay their bills in instalments until 27 July 2020, instead of single payments.;Government;May 2020;July 2020;;;;;;;0;0;1;1;1;0;0;0;0;0;0;0;0
20;Angola;AO;AGO;Disconnection bans;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0
21;Angola;AO;AGO;Discounts or subsidies for energy supply;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0
